date,groundwater_level,rainfall,temperature,pumping_rate
2022-02-16,15.215,184.954,25.711,2.442
2022-02-17,15.207,184.902,25.806,2.437
2022-02-18,15.375,184.831,25.903,2.433
2022-02-19,15.404,184.741,26.0,2.428
2022-02-20,15.533,184.632,26.097,2.424
2022-02-21,15.513,184.503,26.196,2.419
2022-02-22,15.462,184.356,26.294,2.414
2022-02-23,15.581,184.189,26.393,2.41
2022-02-24,15.405,184.003,26.493,2.405
2022-02-25,15.428,183.799,26.593,2.4
2022-02-26,15.396,183.576,26.694,2.395
2022-02-27,15.722,183.333,26.795,2.39
2022-02-28,15.555,183.072,26.896,2.385
2022-03-01,15.559,182.793,26.998,2.38
2022-03-02,15.656,182.495,27.1,2.374
2022-03-03,15.456,182.178,27.202,2.369
2022-03-04,15.461,181.843,27.304,2.364
2022-03-05,15.631,181.489,27.407,2.358
2022-03-06,15.812,181.118,27.509,2.353
2022-03-07,15.823,180.728,27.612,2.348
2022-03-08,15.55,180.321,27.715,2.342
2022-03-09,15.355,179.895,27.819,2.337
2022-03-10,15.381,179.452,27.922,2.331
2022-03-11,15.398,178.991,28.025,2.325
2022-03-12,15.5,178.513,28.128,2.32
2022-03-13,15.885,178.017,28.231,2.314
2022-03-14,15.894,177.504,28.334,2.308
2022-03-15,15.615,176.975,28.437,2.303
2022-03-16,15.611,176.428,28.54,2.297
2022-03-17,15.44,175.865,28.643,2.291
2022-03-18,15.659,175.285,28.746,2.285
2022-03-19,15.615,174.689,28.848,2.279
2022-03-20,15.666,174.076,28.95,2.274
2022-03-21,15.691,173.448,29.052,2.268
2022-03-22,15.725,172.804,29.153,2.262
2022-03-23,15.489,172.144,29.254,2.256
2022-03-24,15.526,171.469,29.355,2.25
2022-03-25,15.669,170.778,29.455,2.244
2022-03-26,15.608,170.073,29.555,2.238
2022-03-27,15.661,169.352,29.655,2.232
2022-03-28,15.971,168.617,29.754,2.226
2022-03-29,15.715,167.868,29.852,2.22
2022-03-30,15.434,167.105,29.95,2.214
2022-03-31,15.337,166.327,30.047,2.208
2022-04-01,15.388,165.536,30.144,2.202
2022-04-02,15.691,164.731,30.24,2.196
2022-04-03,15.867,163.913,30.336,2.19
2022-04-04,15.761,163.083,30.43,2.184
2022-04-05,15.55,162.239,30.524,2.178
2022-04-06,15.532,161.383,30.618,2.172
2022-04-07,15.67,160.515,30.71,2.166
2022-04-08,15.529,159.634,30.802,2.16
2022-04-09,15.803,158.742,30.893,2.154
2022-04-10,15.878,157.839,30.983,2.148
2022-04-11,15.598,156.924,31.072,2.142
2022-04-12,15.769,155.998,31.16,2.136
2022-04-13,15.621,155.062,31.247,2.13
2022-04-14,15.484,154.115,31.333,2.124
2022-04-15,15.412,153.159,31.419,2.118
2022-04-16,15.659,152.192,31.503,2.113
2022-04-17,15.581,151.216,31.586,2.107
2022-04-18,15.722,150.231,31.669,2.101
2022-04-19,15.642,149.236,31.75,2.095
2022-04-20,15.687,148.233,31.83,2.089
2022-04-21,15.572,147.222,31.909,2.084
2022-04-22,15.375,146.203,31.986,2.078
2022-04-23,15.571,145.176,32.063,2.072
2022-04-24,15.566,144.141,32.138,2.067
2022-04-25,15.853,143.099,32.212,2.061
2022-04-26,15.75,142.051,32.285,2.056
2022-04-27,15.406,140.996,32.357,2.05
2022-04-28,15.44,139.934,32.427,2.045
2022-04-29,15.451,138.867,32.496,2.04
2022-04-30,15.396,137.794,32.564,2.034
2022-05-01,15.725,136.716,32.63,2.029
2022-05-02,15.665,135.634,32.695,2.024
2022-05-03,15.662,134.546,32.759,2.019
2022-05-04,15.433,133.454,32.821,2.013
2022-05-05,15.153,132.358,32.882,2.008
2022-05-06,15.289,131.259,32.941,2.003
2022-05-07,15.287,130.156,32.999,1.998
2022-05-08,15.722,129.05,33.055,1.993
2022-05-09,15.723,127.941,33.11,1.989
2022-05-10,15.615,126.83,33.163,1.984
2022-05-11,15.286,125.717,33.215,1.979
2022-05-12,15.104,124.603,33.265,1.975
2022-05-13,15.418,123.487,33.314,1.97
2022-05-14,15.549,122.37,33.361,1.965
2022-05-15,15.345,121.252,33.407,1.961
2022-05-16,15.507,120.134,33.451,1.957
2022-05-17,15.264,119.016,33.493,1.952
2022-05-18,15.372,117.898,33.534,1.948
2022-05-19,15.28,116.781,33.573,1.944
2022-05-20,15.068,115.665,33.61,1.94
2022-05-21,15.298,114.55,33.646,1.936
2022-05-22,15.43,113.436,33.68,1.932
2022-05-23,15.344,112.325,33.712,1.928
2022-05-24,15.468,111.216,33.743,1.924
2022-05-25,15.164,110.109,33.772,1.921
2022-05-26,14.993,109.006,33.8,1.917
2022-05-27,15.127,107.905,33.825,1.914
2022-05-28,15.3,106.808,33.849,1.91
2022-05-29,15.213,105.716,33.871,1.907
2022-05-30,15.268,104.627,33.892,1.904
2022-05-31,15.419,103.543,33.91,1.901
2022-06-01,15.151,102.464,33.927,1.897
2022-06-02,14.979,101.39,33.942,1.894
2022-06-03,15.023,100.321,33.956,1.892
2022-06-04,14.983,99.258,33.967,1.889
2022-06-05,15.123,98.202,33.977,1.886
2022-06-06,15.178,97.152,33.985,1.883
2022-06-07,15.173,96.108,33.992,1.881
2022-06-08,14.899,95.072,33.996,1.879
2022-06-09,14.799,94.043,33.999,1.876
2022-06-10,14.759,93.022,34.0,1.874
2022-06-11,15.063,92.009,33.999,1.872
2022-06-12,15.021,91.004,33.997,1.87
2022-06-13,15.278,90.007,33.992,1.868
2022-06-14,15.165,89.02,33.986,1.866
2022-06-15,14.735,88.041,33.978,1.864
2022-06-16,14.699,87.072,33.969,1.863
2022-06-17,14.867,86.113,33.957,1.861
2022-06-18,14.805,85.164,33.944,1.86
2022-06-19,14.877,84.225,33.929,1.858
2022-06-20,15.18,83.297,33.913,1.857
2022-06-21,14.952,82.38,33.894,1.856
2022-06-22,14.77,81.473,33.874,1.855
2022-06-23,14.785,80.579,33.852,1.854
2022-06-24,14.807,79.695,33.829,1.853
2022-06-25,14.686,78.824,33.803,1.852
2022-06-26,14.754,77.965,33.776,1.852
2022-06-27,14.887,77.119,33.747,1.851
2022-06-28,14.787,76.285,33.717,1.851
2022-06-29,14.656,75.464,33.685,1.85
2022-06-30,14.653,74.656,33.651,1.85
2022-07-01,14.646,73.861,33.615,1.85
2022-07-02,14.859,73.081,33.578,1.85
2022-07-03,14.642,72.314,33.539,1.85
2022-07-04,14.764,71.561,33.499,1.85
2022-07-05,14.644,70.823,33.457,1.851
2022-07-06,14.686,70.099,33.413,1.851
2022-07-07,14.368,69.39,33.368,1.851
2022-07-08,14.36,68.696,33.321,1.852
2022-07-09,14.554,68.017,33.272,1.853
2022-07-10,14.646,67.353,33.222,1.854
2022-07-11,14.607,66.705,33.171,1.855
2022-07-12,14.5,66.073,33.117,1.856
2022-07-13,14.597,65.457,33.063,1.857
2022-07-14,14.327,64.857,33.007,1.858
2022-07-15,14.491,64.273,32.949,1.859
2022-07-16,14.48,63.706,32.89,1.861
2022-07-17,14.402,63.155,32.829,1.862
2022-07-18,14.757,62.621,32.767,1.864
2022-07-19,14.602,62.104,32.704,1.866
2022-07-20,14.504,61.605,32.639,1.867
2022-07-21,14.392,61.122,32.573,1.869
2022-07-22,14.378,60.657,32.506,1.871
2022-07-23,14.235,60.21,32.437,1.873
2022-07-24,14.452,59.78,32.367,1.876
2022-07-25,14.368,59.368,32.295,1.878
2022-07-26,14.339,58.974,32.223,1.88
2022-07-27,14.071,58.598,32.149,1.883
2022-07-28,14.091,58.24,32.073,1.885
2022-07-29,14.324,57.901,31.997,1.888
2022-07-30,14.167,57.58,31.92,1.891
2022-07-31,14.457,57.277,31.841,1.894
2022-08-01,14.354,56.993,31.761,1.897
2022-08-02,14.247,56.728,31.68,1.9
2022-08-03,14.295,56.481,31.598,1.903
2022-08-04,14.214,56.253,31.515,1.906
2022-08-05,14.071,56.044,31.431,1.909
2022-08-06,14.234,55.854,31.345,1.913
2022-08-07,14.135,55.683,31.259,1.916
2022-08-08,14.202,55.531,31.172,1.92
2022-08-09,14.35,55.398,31.084,1.924
2022-08-10,14.067,55.284,30.995,1.927
2022-08-11,13.96,55.189,30.905,1.931
2022-08-12,14.05,55.113,30.814,1.935
2022-08-13,13.907,55.057,30.723,1.939
2022-08-14,14.202,55.02,30.631,1.943
2022-08-15,14.189,55.002,30.537,1.947
2022-08-16,14.223,55.003,30.443,1.951
2022-08-17,13.831,55.024,30.349,1.956
2022-08-18,14.027,55.063,30.254,1.96
2022-08-19,13.728,55.122,30.158,1.964
2022-08-20,13.873,55.201,30.061,1.969
2022-08-21,14.126,55.298,29.964,1.973
2022-08-22,14.174,55.414,29.866,1.978
2022-08-23,13.924,55.55,29.768,1.983
2022-08-24,13.742,55.705,29.669,1.987
2022-08-25,13.928,55.878,29.569,1.992
2022-08-26,13.716,56.071,29.469,1.997
2022-08-27,13.949,56.283,29.369,2.002
2022-08-28,14.066,56.513,29.268,2.007
2022-08-29,14.014,56.762,29.167,2.012
2022-08-30,13.983,57.03,29.066,2.017
2022-08-31,13.822,57.317,28.964,2.022
2022-09-01,13.881,57.622,28.862,2.028
2022-09-02,13.639,57.946,28.76,2.033
2022-09-03,13.933,58.288,28.657,2.038
2022-09-04,13.871,58.648,28.555,2.044
2022-09-05,13.949,59.026,28.452,2.049
2022-09-06,13.96,59.423,28.349,2.054
2022-09-07,13.689,59.837,28.246,2.06
2022-09-08,13.607,60.269,28.143,2.065
2022-09-09,13.786,60.719,28.039,2.071
2022-09-10,13.653,61.186,27.936,2.077
2022-09-11,13.903,61.671,27.833,2.082
2022-09-12,14.121,62.173,27.73,2.088
2022-09-13,14.033,62.692,27.627,2.094
2022-09-14,13.566,63.228,27.524,2.099
2022-09-15,13.53,63.781,27.421,2.105
2022-09-16,13.573,64.351,27.318,2.111
2022-09-17,13.926,64.937,27.216,2.117
2022-09-18,14.021,65.539,27.114,2.123
2022-09-19,14.045,66.157,27.012,2.129
2022-09-20,13.777,66.792,26.91,2.135
2022-09-21,13.567,67.442,26.809,2.14
2022-09-22,13.726,68.108,26.708,2.146
2022-09-23,13.705,68.789,26.607,2.152
2022-09-24,13.787,69.485,26.507,2.158
2022-09-25,14.037,70.196,26.407,2.164
2022-09-26,13.944,70.922,26.308,2.17
2022-09-27,13.629,71.662,26.209,2.176
2022-09-28,13.788,72.417,26.111,2.182
2022-09-29,13.519,73.185,26.013,2.188
2022-09-30,13.678,73.968,25.916,2.194
2022-10-01,13.894,74.764,25.82,2.2
2022-10-02,13.721,75.574,25.724,2.206
2022-10-03,13.743,76.397,25.629,2.212
2022-10-04,13.659,77.232,25.534,2.218
2022-10-05,13.69,78.081,25.441,2.224
2022-10-06,13.508,78.941,25.348,2.23
2022-10-07,13.658,79.814,25.256,2.236
2022-10-08,13.817,80.699,25.164,2.242
2022-10-09,13.751,81.595,25.074,2.248
2022-10-10,13.936,82.503,24.984,2.254
2022-10-11,13.724,83.422,24.895,2.26
2022-10-12,13.677,84.352,24.807,2.266
2022-10-13,13.748,85.292,24.72,2.272
2022-10-14,13.758,86.242,24.634,2.278
2022-10-15,13.607,87.203,24.55,2.284
2022-10-16,13.847,88.173,24.466,2.29
2022-10-17,13.827,89.153,24.383,2.295
2022-10-18,13.651,90.141,24.301,2.301
2022-10-19,13.801,91.139,24.22,2.307
2022-10-20,13.676,92.145,24.141,2.313
2022-10-21,13.574,93.159,24.062,2.318
2022-10-22,13.869,94.182,23.985,2.324
2022-10-23,13.923,95.212,23.909,2.33
2022-10-24,13.913,96.249,23.834,2.335
2022-10-25,13.686,97.293,23.76,2.341
2022-10-26,13.586,98.344,23.688,2.346
2022-10-27,13.801,99.402,23.617,2.352
2022-10-28,13.844,100.465,23.547,2.357
2022-10-29,13.839,101.534,23.478,2.362
2022-10-30,14.067,102.609,23.411,2.368
2022-10-31,14.012,103.689,23.345,2.373
2022-11-01,13.781,104.774,23.281,2.378
2022-11-02,13.651,105.863,23.218,2.383
2022-11-03,13.643,106.956,23.156,2.389
2022-11-04,13.892,108.054,23.096,2.394
2022-11-05,13.981,109.155,23.037,2.399
2022-11-06,14.129,110.259,22.98,2.403
2022-11-07,14.181,111.366,22.924,2.408
2022-11-08,13.86,112.475,22.87,2.413
2022-11-09,13.753,113.587,22.817,2.418
2022-11-10,13.628,114.7,22.766,2.423
2022-11-11,13.911,115.815,22.716,2.427
2022-11-12,14.075,116.932,22.668,2.432
2022-11-13,14.03,118.049,22.622,2.436
2022-11-14,14.146,119.167,22.577,2.441
2022-11-15,13.907,120.285,22.533,2.445
2022-11-16,14.066,121.403,22.492,2.449
2022-11-17,13.972,122.521,22.451,2.453
2022-11-18,14.052,123.638,22.413,2.458
2022-11-19,14.121,124.754,22.376,2.462
2022-11-20,14.274,125.868,22.341,2.466
2022-11-21,14.006,126.981,22.308,2.469
2022-11-22,14.193,128.091,22.276,2.473
2022-11-23,13.929,129.199,22.246,2.477
2022-11-24,14.075,130.305,22.217,2.481
2022-11-25,14.069,131.407,22.191,2.484
2022-11-26,14.221,132.506,22.166,2.488
2022-11-27,14.331,133.602,22.143,2.491
2022-11-28,14.177,134.693,22.121,2.494
2022-11-29,14.295,135.78,22.101,2.498
2022-11-30,13.933,136.862,22.083,2.501
2022-12-01,14.14,137.94,22.067,2.504
2022-12-02,14.177,139.012,22.052,2.507
2022-12-03,14.078,140.078,22.04,2.509
2022-12-04,14.422,141.139,22.029,2.512
2022-12-05,14.336,142.193,22.02,2.515
2022-12-06,14.213,143.24,22.012,2.517
2022-12-07,14.273,144.281,22.006,2.52
2022-12-08,14.001,145.315,22.003,2.522
2022-12-09,13.97,146.341,22.0,2.525
2022-12-10,14.162,147.359,22.0,2.527
2022-12-11,14.342,148.369,22.002,2.529
2022-12-12,14.578,149.371,22.005,2.531
2022-12-13,14.548,150.364,22.01,2.533
2022-12-14,14.184,151.348,22.016,2.535
2022-12-15,14.248,152.323,22.025,2.536
2022-12-16,14.204,153.288,22.035,2.538
2022-12-17,14.545,154.244,22.047,2.54
2022-12-18,14.516,155.189,22.061,2.541
2022-12-19,14.705,156.124,22.077,2.542
2022-12-20,14.342,157.048,22.094,2.543
2022-12-21,14.534,157.961,22.113,2.545
2022-12-22,14.182,158.863,22.134,2.546
2022-12-23,14.508,159.754,22.156,2.546
2022-12-24,14.389,160.633,22.181,2.547
2022-12-25,14.465,161.499,22.207,2.548
2022-12-26,14.626,162.354,22.234,2.549
2022-12-27,14.666,163.196,22.264,2.549
2022-12-28,14.401,164.025,22.295,2.549
2022-12-29,14.44,164.841,22.328,2.55
2022-12-30,14.45,165.644,22.362,2.55
2022-12-31,14.536,166.433,22.398,2.55
2023-01-01,14.741,167.4,22.446,2.55
2023-01-02,14.669,168.158,22.486,2.55
2023-01-03,14.766,168.902,22.527,2.55
2023-01-04,14.397,169.631,22.57,2.549
2023-01-05,14.663,170.346,22.615,2.549
2023-01-06,14.567,171.046,22.662,2.548
2023-01-07,14.765,171.731,22.709,2.547
2023-01-08,14.905,172.4,22.759,2.547
2023-01-09,14.923,173.054,22.81,2.546
2023-01-10,14.746,173.692,22.862,2.545
2023-01-11,14.524,174.314,22.917,2.544
2023-01-12,14.672,174.92,22.972,2.543
2023-01-13,14.595,175.51,23.029,2.541
2023-01-14,14.721,176.084,23.088,2.54
2023-01-15,15.045,176.641,23.148,2.538
2023-01-16,15.042,177.181,23.209,2.537
2023-01-17,14.824,177.704,23.272,2.535
2023-01-18,14.711,178.21,23.336,2.533
2023-01-19,14.68,178.699,23.402,2.531
2023-01-20,14.721,179.171,23.469,2.529
2023-01-21,14.814,179.625,23.537,2.527
2023-01-22,14.884,180.061,23.607,2.525
2023-01-23,15.032,180.48,23.678,2.523
2023-01-24,15.152,180.88,23.75,2.521
2023-01-25,14.941,181.263,23.823,2.518
2023-01-26,14.954,181.628,23.898,2.516
2023-01-27,14.893,181.974,23.974,2.513
2023-01-28,14.91,182.302,24.051,2.51
2023-01-29,15.129,182.612,24.13,2.507
2023-01-30,14.974,182.903,24.209,2.504
2023-01-31,15.009,183.175,24.29,2.501
2023-02-01,14.943,183.429,24.371,2.498
2023-02-02,14.928,183.664,24.454,2.495
2023-02-03,14.997,183.88,24.538,2.492
2023-02-04,15.058,184.077,24.622,2.488
2023-02-05,15.179,184.255,24.708,2.485
2023-02-06,15.138,184.415,24.795,2.481
2023-02-07,15.162,184.555,24.883,2.478
2023-02-08,15.197,184.676,24.971,2.474
2023-02-09,15.089,184.778,25.061,2.47
2023-02-10,14.904,184.861,25.151,2.466
2023-02-11,15.002,184.924,25.243,2.463
2023-02-12,15.285,184.969,25.335,2.459
2023-02-13,15.367,184.994,25.428,2.454
2023-02-14,15.19,185.0,25.521,2.45
2023-02-15,15.244,184.986,25.616,2.446
2023-02-16,15.149,184.954,25.711,2.442
2023-02-17,15.159,184.902,25.806,2.437
2023-02-18,15.125,184.831,25.903,2.433
2023-02-19,15.243,184.741,26.0,2.428
2023-02-20,15.218,184.632,26.097,2.424
2023-02-21,15.226,184.503,26.196,2.419
2023-02-22,15.187,184.356,26.294,2.414
2023-02-23,15.25,184.189,26.393,2.41
2023-02-24,15.008,184.003,26.493,2.405
2023-02-25,15.256,183.799,26.593,2.4
2023-02-26,15.459,183.576,26.694,2.395
2023-02-27,15.339,183.333,26.795,2.39
2023-02-28,15.446,183.072,26.896,2.385
2023-03-01,15.251,182.793,26.998,2.38
2023-03-02,15.087,182.495,27.1,2.374
2023-03-03,15.271,182.178,27.202,2.369
2023-03-04,15.161,181.843,27.304,2.364
2023-03-05,15.553,181.489,27.407,2.358
2023-03-06,15.595,181.118,27.509,2.353
2023-03-07,15.281,180.728,27.612,2.348
2023-03-08,15.272,180.321,27.715,2.342
2023-03-09,15.106,179.895,27.819,2.337
2023-03-10,15.422,179.452,27.922,2.331
2023-03-11,15.386,178.991,28.025,2.325
2023-03-12,15.34,178.513,28.128,2.32
2023-03-13,15.445,178.017,28.231,2.314
2023-03-14,15.584,177.504,28.334,2.308
2023-03-15,15.317,176.975,28.437,2.303
2023-03-16,15.364,176.428,28.54,2.297
2023-03-17,15.348,175.865,28.643,2.291
2023-03-18,15.584,175.285,28.746,2.285
2023-03-19,15.563,174.689,28.848,2.279
2023-03-20,15.722,174.076,28.95,2.274
2023-03-21,15.623,173.448,29.052,2.268
2023-03-22,15.394,172.804,29.153,2.262
2023-03-23,15.354,172.144,29.254,2.256
2023-03-24,15.307,171.469,29.355,2.25
2023-03-25,15.543,170.778,29.455,2.244
2023-03-26,15.56,170.073,29.555,2.238
2023-03-27,15.715,169.352,29.655,2.232
2023-03-28,15.58,168.617,29.754,2.226
2023-03-29,15.353,167.868,29.852,2.22
2023-03-30,15.195,167.105,29.95,2.214
2023-03-31,15.219,166.327,30.047,2.208
2023-04-01,15.477,165.536,30.144,2.202
2023-04-02,15.639,164.731,30.24,2.196
2023-04-03,15.579,163.913,30.336,2.19
2023-04-04,15.535,163.083,30.43,2.184
2023-04-05,15.277,162.239,30.524,2.178
2023-04-06,15.123,161.383,30.618,2.172
2023-04-07,15.225,160.515,30.71,2.166
2023-04-08,15.335,159.634,30.802,2.16
2023-04-09,15.467,158.742,30.893,2.154
2023-04-10,15.572,157.839,30.983,2.148
2023-04-11,15.343,156.924,31.072,2.142
2023-04-12,15.243,155.998,31.16,2.136
2023-04-13,15.325,155.062,31.247,2.13
2023-04-14,15.355,154.115,31.333,2.124
2023-04-15,15.237,153.159,31.419,2.118
2023-04-16,15.473,152.192,31.503,2.113
2023-04-17,15.546,151.216,31.586,2.107
2023-04-18,15.415,150.231,31.669,2.101
2023-04-19,15.204,149.236,31.75,2.095
2023-04-20,15.195,148.233,31.83,2.089
2023-04-21,15.392,147.222,31.909,2.084
2023-04-22,15.388,146.203,31.986,2.078
2023-04-23,15.54,145.176,32.063,2.072
2023-04-24,15.62,144.141,32.138,2.067
2023-04-25,15.5,143.099,32.212,2.061
2023-04-26,15.224,142.051,32.285,2.056
2023-04-27,15.001,140.996,32.357,2.05
2023-04-28,15.147,139.934,32.427,2.045
2023-04-29,15.401,138.867,32.496,2.04
2023-04-30,15.547,137.794,32.564,2.034
2023-05-01,15.604,136.716,32.63,2.029
2023-05-02,15.322,135.634,32.695,2.024
2023-05-03,15.301,134.546,32.759,2.019
2023-05-04,15.139,133.454,32.821,2.013
2023-05-05,15.18,132.358,32.882,2.008
2023-05-06,15.15,131.259,32.941,2.003
2023-05-07,15.257,130.156,32.999,1.998
2023-05-08,15.355,129.05,33.055,1.993
2023-05-09,15.117,127.941,33.11,1.989
2023-05-10,15.087,126.83,33.163,1.984
2023-05-11,15.12,125.717,33.215,1.979
2023-05-12,15.039,124.603,33.265,1.975
2023-05-13,15.06,123.487,33.314,1.97
2023-05-14,15.275,122.37,33.361,1.965
2023-05-15,15.17,121.252,33.407,1.961
2023-05-16,15.256,120.134,33.451,1.957
2023-05-17,14.9,119.016,33.493,1.952
2023-05-18,14.939,117.898,33.534,1.948
2023-05-19,15.018,116.781,33.573,1.944
2023-05-20,14.93,115.665,33.61,1.94
2023-05-21,15.256,114.55,33.646,1.936
2023-05-22,15.09,113.436,33.68,1.932
2023-05-23,15.114,112.325,33.712,1.928
2023-05-24,14.823,111.216,33.743,1.924
2023-05-25,14.848,110.109,33.772,1.921
2023-05-26,14.803,109.006,33.8,1.917
2023-05-27,14.949,107.905,33.825,1.914
2023-05-28,15.209,106.808,33.849,1.91
2023-05-29,15.087,105.716,33.871,1.907
2023-05-30,15.126,104.627,33.892,1.904
2023-05-31,15.011,103.543,33.91,1.901
2023-06-01,14.707,102.464,33.927,1.897
2023-06-02,14.661,101.39,33.942,1.894
2023-06-03,14.742,100.321,33.956,1.892
2023-06-04,15.032,99.258,33.967,1.889
2023-06-05,15.212,98.202,33.977,1.886
2023-06-06,14.882,97.152,33.985,1.883
2023-06-07,14.846,96.108,33.992,1.881
2023-06-08,14.797,95.072,33.996,1.879
2023-06-09,14.764,94.043,33.999,1.876
2023-06-10,14.904,93.022,34.0,1.874
2023-06-11,15.076,92.009,33.999,1.872
2023-06-12,14.82,91.004,33.997,1.87
2023-06-13,14.659,90.007,33.992,1.868
2023-06-14,14.561,89.02,33.986,1.866
2023-06-15,14.455,88.041,33.978,1.864
2023-06-16,14.664,87.072,33.969,1.863
2023-06-17,14.728,86.113,33.957,1.861
2023-06-18,14.705,85.164,33.944,1.86
2023-06-19,14.892,84.225,33.929,1.858
2023-06-20,14.819,83.297,33.913,1.857
2023-06-21,14.457,82.38,33.894,1.856
2023-06-22,14.519,81.473,33.874,1.855
2023-06-23,14.582,80.579,33.852,1.854
2023-06-24,14.456,79.695,33.829,1.853
2023-06-25,14.811,78.824,33.803,1.852
2023-06-26,14.876,77.965,33.776,1.852
2023-06-27,14.47,77.119,33.747,1.851
2023-06-28,14.294,76.285,33.717,1.851
2023-06-29,14.3,75.464,33.685,1.85
2023-06-30,14.445,74.656,33.651,1.85
2023-07-01,14.647,73.861,33.615,1.85
2023-07-02,14.546,73.081,33.578,1.85
2023-07-03,14.674,72.314,33.539,1.85
2023-07-04,14.346,71.561,33.499,1.85
2023-07-05,14.421,70.823,33.457,1.851
2023-07-06,14.301,70.099,33.413,1.851
2023-07-07,14.125,69.39,33.368,1.851
2023-07-08,14.468,68.696,33.321,1.852
2023-07-09,14.597,68.017,33.272,1.853
2023-07-10,14.52,67.353,33.222,1.854
2023-07-11,14.251,66.705,33.171,1.855
2023-07-12,14.415,66.073,33.117,1.856
2023-07-13,14.246,65.457,33.063,1.857
2023-07-14,14.102,64.857,33.007,1.858
2023-07-15,14.233,64.273,32.949,1.859
2023-07-16,14.314,63.706,32.89,1.861
2023-07-17,14.376,63.155,32.829,1.862
2023-07-18,14.22,62.621,32.767,1.864
2023-07-19,14.257,62.104,32.704,1.866
2023-07-20,14.151,61.605,32.639,1.867
2023-07-21,13.907,61.122,32.573,1.869
2023-07-22,14.317,60.657,32.506,1.871
2023-07-23,14.302,60.21,32.437,1.873
2023-07-24,14.385,59.78,32.367,1.876
2023-07-25,14.245,59.368,32.295,1.878
2023-07-26,14.003,58.974,32.223,1.88
2023-07-27,14.014,58.598,32.149,1.883
2023-07-28,14.112,58.24,32.073,1.885
2023-07-29,13.964,57.901,31.997,1.888
2023-07-30,14.261,57.58,31.92,1.891
2023-07-31,14.179,57.277,31.841,1.894
2023-08-01,14.064,56.993,31.761,1.897
2023-08-02,13.902,56.728,31.68,1.9
2023-08-03,13.914,56.481,31.598,1.903
2023-08-04,13.763,56.253,31.515,1.906
2023-08-05,14.076,56.044,31.431,1.909
2023-08-06,14.173,55.854,31.345,1.913
2023-08-07,13.921,55.683,31.259,1.916
2023-08-08,14.112,55.531,31.172,1.92
2023-08-09,13.74,55.398,31.084,1.924
2023-08-10,13.725,55.284,30.995,1.927
2023-08-11,13.794,55.189,30.905,1.931
2023-08-12,13.816,55.113,30.814,1.935
2023-08-13,13.795,55.057,30.723,1.939
2023-08-14,14.108,55.02,30.631,1.943
2023-08-15,13.774,55.002,30.537,1.947
2023-08-16,13.643,55.003,30.443,1.951
2023-08-17,13.761,55.024,30.349,1.956
2023-08-18,13.614,55.063,30.254,1.96
2023-08-19,13.914,55.122,30.158,1.964
2023-08-20,13.956,55.201,30.061,1.969
2023-08-21,13.822,55.298,29.964,1.973
2023-08-22,13.634,55.414,29.866,1.978
2023-08-23,13.831,55.55,29.768,1.983
2023-08-24,13.43,55.705,29.669,1.987
2023-08-25,13.677,55.878,29.569,1.992
2023-08-26,13.701,56.071,29.469,1.997
2023-08-27,13.906,56.283,29.369,2.002
2023-08-28,13.902,56.513,29.268,2.007
2023-08-29,13.795,56.762,29.167,2.012
