date,groundwater_level,rainfall_mm,temperature_c
2018-11-27,92.61,0.01,16.58
2018-11-28,92.7,1.14,13.76
2018-11-29,92.79,23.54,13.8
2018-11-30,92.9,5.06,13.31
2018-12-01,93.08,0.35,12.85
2018-12-02,93.17,0.25,11.79
2018-12-03,93.35,0.0,11.61
2018-12-04,93.42,0.01,11.73
2018-12-05,93.46,21.96,11.81
2018-12-06,93.48,18.39,13.97
2018-12-07,93.51,1.2,13.62
2018-12-08,93.73,0.0,13.83
2018-12-09,93.85,0.0,14.36
2018-12-10,93.86,0.02,13.8
2018-12-11,93.91,0.13,13.0
2018-12-12,94.01,0.24,12.76
2018-12-13,94.1,0.01,13.85
2018-12-14,94.14,0.0,13.15
2018-12-15,94.15,0.0,14.28
2018-12-16,94.23,0.13,14.32
2018-12-17,94.31,0.15,13.1
2018-12-18,94.37,0.04,13.81
2018-12-19,94.42,0.0,15.19
2018-12-20,94.47,0.01,16.23
2018-12-21,94.5,0.02,13.88
2018-12-22,94.58,0.07,15.24
2018-12-23,94.7,0.19,13.66
2018-12-24,94.73,0.69,14.01
2018-12-25,94.69,10.35,11.67
2018-12-26,94.81,0.01,11.74
2018-12-27,94.81,0.39,10.76
2018-12-28,94.89,0.0,8.3
2018-12-29,95.04,0.0,7.76
2018-12-30,95.01,0.01,9.99
2018-12-31,94.97,3.74,10.32
2019-01-01,95.04,0.02,6.88
2019-01-02,95.15,0.0,7.25
2019-01-03,95.19,0.0,8.42
2019-01-04,95.15,0.0,10.42
2019-01-05,95.15,5.95,10.55
2019-01-06,95.22,6.63,10.8
2019-01-07,95.35,0.01,11.62
2019-01-08,95.36,0.0,12.94
2019-01-09,95.42,0.06,12.93
2019-01-10,95.47,0.28,12.61
2019-01-11,95.5,0.2,12.23
2019-01-12,95.49,10.82,11.33
2019-01-13,95.52,0.01,11.24
2019-01-14,95.5,16.52,11.45
2019-01-15,95.51,3.31,12.2
2019-01-16,95.55,2.7,13.84
2019-01-17,95.58,7.9,13.46
2019-01-18,95.61,0.67,12.9
2019-01-19,95.62,0.0,14.16
2019-01-20,95.59,0.14,14.9
2019-01-21,95.61,0.35,11.52
2019-01-22,95.68,0.0,10.0
2019-01-23,95.75,0.0,10.97
2019-01-24,95.7,0.0,13.01
2019-01-25,95.72,0.0,13.5
2019-01-26,95.77,0.0,14.39
2019-01-27,95.77,0.0,15.05
2019-01-28,95.72,0.0,16.19
2019-01-29,95.68,0.0,14.57
2019-01-30,95.66,0.08,13.57
2019-01-31,95.67,11.58,12.26
2019-02-01,95.66,0.96,12.49
2019-02-02,95.57,30.55,12.8
2019-02-03,95.55,0.47,10.36
2019-02-04,95.57,11.21,11.26
2019-02-05,95.58,6.28,9.35
2019-02-06,95.66,0.16,7.77
2019-02-07,95.71,0.04,8.25
2019-02-08,95.68,0.0,8.66
2019-02-09,95.69,0.32,8.82
2019-02-10,95.73,1.04,9.67
2019-02-11,95.76,0.01,8.88
2019-02-12,95.77,0.0,11.47
2019-02-13,95.72,11.21,11.92
2019-02-14,95.66,50.19,13.56
2019-02-15,95.71,2.21,10.99
2019-02-16,95.72,1.59,10.33
2019-02-17,95.73,6.25,9.48
2019-02-18,95.72,1.14,7.88
2019-02-19,95.8,0.0,7.73
2019-02-20,95.76,4.73,8.24
2019-02-21,95.69,9.78,7.81
2019-02-22,95.7,0.13,7.57
2019-02-23,95.61,0.0,9.23
2019-02-24,95.37,0.06,10.2
2019-02-25,95.13,0.0,12.12
2019-02-26,94.92,0.08,11.74
2019-02-27,94.68,0.12,11.98
2019-02-28,94.45,0.13,13.68
2019-03-01,94.26,0.13,13.8
2019-03-02,94.18,7.52,12.85
2019-03-03,94.15,1.62,12.62
2019-03-04,94.15,0.55,11.32
2019-03-05,94.17,0.06,13.01
2019-03-06,94.21,4.43,13.75
2019-03-07,94.33,1.99,12.25
2019-03-08,94.43,1.01,9.74
2019-03-09,94.55,0.1,9.36
2019-03-10,94.6,0.09,8.83
2019-03-11,94.68,7.1,8.94
2019-03-12,94.68,2.34,11.17
2019-03-13,94.83,0.55,11.63
2019-03-14,95.0,0.0,11.46
2019-03-15,95.1,0.0,12.57
2019-03-16,95.15,0.16,15.09
2019-03-17,95.21,0.16,15.93
2019-03-18,95.29,0.2,15.99
2019-03-19,95.35,0.35,13.78
2019-03-20,95.44,2.97,12.36
2019-03-21,95.46,3.44,11.51
2019-03-22,95.41,0.17,12.17
2019-03-23,95.38,0.19,12.6
2019-03-24,95.4,0.06,14.09
2019-03-25,95.4,0.0,14.84
2019-03-26,95.39,0.03,13.64
2019-03-27,95.41,0.15,12.66
2019-03-28,95.5,0.04,13.35
2019-03-29,95.41,0.03,13.29
2019-03-30,95.26,0.01,16.49
2019-03-31,95.16,0.03,18.73
2019-04-01,95.03,0.0,17.93
2019-04-02,94.93,0.21,14.16
2019-04-03,94.78,0.8,13.39
2019-04-04,94.47,0.23,13.28
2019-04-05,94.19,0.48,13.04
2019-04-06,93.97,0.14,13.63
2019-04-07,93.68,0.02,17.65
2019-04-08,93.37,0.0,21.04
2019-04-09,93.09,0.02,15.97
2019-04-10,92.83,0.0,14.84
2019-04-11,92.45,0.06,14.99
2019-04-12,92.21,0.17,14.38
2019-04-13,91.97,0.0,16.73
2019-04-14,91.68,0.0,17.4
2019-04-15,91.41,0.06,13.81
2019-04-16,91.14,0.4,12.57
2019-04-17,90.87,0.09,16.25
2019-04-18,90.54,0.01,19.87
2019-04-19,90.19,0.01,18.16
2019-04-20,89.95,0.09,13.21
2019-04-21,89.7,0.0,12.31
2019-04-22,89.44,0.05,15.45
2019-04-23,89.23,0.01,18.06
2019-04-24,89.05,0.0,18.99
2019-04-25,88.88,0.0,18.81
2019-04-26,88.68,0.07,16.62
2019-04-27,88.44,0.13,15.01
2019-04-28,88.2,0.38,14.64
2019-04-29,88.01,1.96,13.96
2019-04-30,87.82,0.84,13.26
2019-05-01,87.6,0.09,14.47
2019-05-02,87.35,0.06,14.01
2019-05-03,87.12,0.03,15.37
2019-05-04,86.87,0.02,15.35
2019-05-05,86.7,0.15,14.11
2019-05-06,86.54,1.01,14.54
2019-05-07,86.39,0.65,13.87
2019-05-08,86.16,0.52,14.07
2019-05-09,85.98,0.55,13.84
2019-05-10,85.88,0.58,15.25
2019-05-11,85.76,3.83,16.0
2019-05-12,85.68,0.28,17.53
2019-05-13,85.54,0.11,17.05
2019-05-14,85.37,0.01,17.01
2019-05-15,85.21,0.12,15.08
2019-05-16,85.12,2.52,14.25
2019-05-17,85.0,0.08,13.76
2019-05-18,84.89,0.11,14.64
2019-05-19,84.8,3.86,13.65
2019-05-20,84.73,4.08,13.33
2019-05-21,84.56,2.02,13.08
2019-05-22,84.49,4.0,12.75
2019-05-23,84.47,0.86,13.87
2019-05-24,84.36,0.02,15.27
2019-05-25,84.27,0.07,14.15
2019-05-26,84.24,3.02,13.25
2019-05-27,84.18,1.04,13.01
2019-05-28,84.04,0.06,14.96
2019-05-29,83.93,0.13,17.22
2019-05-30,83.87,0.03,17.6
2019-05-31,83.76,0.01,15.44
2019-06-01,83.66,0.01,14.79
2019-06-02,83.57,0.01,15.53
2019-06-03,83.48,0.02,16.93
2019-06-04,83.41,0.02,18.59
2019-06-05,83.34,0.01,18.15
2019-06-06,83.29,0.01,17.56
2019-06-07,83.22,0.01,15.99
2019-06-08,83.2,0.0,17.91
2019-06-09,83.18,0.08,22.19
2019-06-10,83.13,0.14,24.75
2019-06-11,83.08,0.24,24.75
2019-06-12,82.99,0.1,20.57
2019-06-13,82.97,0.51,17.6
2019-06-14,82.93,0.62,15.63
2019-06-15,82.92,0.0,17.3
2019-06-16,82.89,0.0,16.35
2019-06-17,82.85,0.19,15.7
2019-06-18,82.85,0.0,18.19
2019-06-19,82.81,0.0,17.87
2019-06-20,82.76,0.06,16.15
2019-06-21,82.73,0.11,16.7
2019-06-22,82.73,0.07,18.71
2019-06-23,82.71,0.05,20.56
2019-06-24,82.65,0.06,18.42
2019-06-25,82.62,0.22,16.47
2019-06-26,82.6,0.1,16.32
2019-06-27,82.57,0.04,17.11
2019-06-28,82.53,0.02,18.17
2019-06-29,82.52,0.0,20.2
2019-06-30,82.51,0.0,22.05
2019-07-01,82.44,0.01,21.31
2019-07-02,82.39,0.08,19.44
2019-07-03,82.38,0.24,17.33
2019-07-04,82.37,0.16,17.5
2019-07-05,82.37,0.03,18.59
2019-07-06,82.35,0.05,18.95
2019-07-07,82.36,0.05,17.57
2019-07-08,82.35,0.06,16.56
2019-07-09,82.32,0.01,18.9
2019-07-10,82.28,0.02,21.02
2019-07-11,82.23,0.01,23.04
2019-07-12,82.15,0.01,24.32
2019-07-13,82.16,0.25,24.05
2019-07-14,82.19,0.02,23.73
2019-07-15,82.12,0.0,25.03
2019-07-16,82.1,0.0,23.08
2019-07-17,82.11,0.0,20.35
2019-07-18,82.1,0.0,20.09
2019-07-19,82.09,0.01,19.04
2019-07-20,82.12,0.02,19.18
2019-07-21,82.16,0.01,21.78
2019-07-22,82.25,0.17,23.3
2019-07-23,82.36,1.48,26.13
2019-07-24,82.48,0.99,26.66
2019-07-25,82.62,0.53,27.36
2019-07-26,82.78,0.0,26.68
2019-07-27,82.95,0.0,26.71
2019-07-28,83.09,0.03,24.23
2019-07-29,83.22,0.16,22.41
2019-07-30,83.37,0.75,22.99
2019-07-31,83.51,0.35,21.82
2019-08-01,83.68,0.15,23.66
2019-08-02,83.81,0.13,24.73
2019-08-03,83.99,0.03,25.05
2019-08-04,84.19,0.0,24.88
2019-08-05,84.44,0.0,25.1
2019-08-06,84.69,0.16,25.17
2019-08-07,84.97,0.22,22.89
2019-08-08,85.26,0.03,22.44
2019-08-09,85.55,0.0,21.81
2019-08-10,85.85,0.0,20.4
2019-08-11,86.19,0.0,20.74
2019-08-12,86.51,0.0,21.15
2019-08-13,86.81,0.0,23.83
2019-08-14,86.91,0.0,26.24
2019-08-15,87.23,0.0,25.65
2019-08-16,87.55,0.0,23.12
2019-08-17,87.9,0.0,18.73
2019-08-18,88.2,0.0,19.18
2019-08-19,88.52,0.0,20.51
2019-08-20,88.78,0.0,22.99
2019-08-21,89.04,0.0,23.8
2019-08-22,89.26,0.0,21.3
2019-08-23,89.55,0.02,21.15
2019-08-24,89.83,0.02,23.78
2019-08-25,90.1,0.0,26.14
2019-08-26,90.31,0.0,26.0
2019-08-27,90.52,0.1,23.6
2019-08-28,90.76,0.08,21.8
2019-08-29,91.0,0.0,23.42
2019-08-30,91.18,0.0,24.66
2019-08-31,91.34,0.0,25.29
2019-09-01,91.48,0.08,25.96
2019-09-02,91.68,1.34,26.55
2019-09-03,91.86,0.01,27.04
2019-09-04,92.0,2.11,28.14
2019-09-05,92.18,0.26,27.29
2019-09-06,92.4,0.01,25.79
2019-09-07,92.56,0.01,24.39
2019-09-08,92.72,0.0,18.81
2019-09-09,92.87,0.0,19.07
2019-09-10,93.03,0.0,18.34
2019-09-11,93.19,0.0,19.38
2019-09-12,93.37,0.0,23.72
2019-09-13,93.48,0.03,26.69
2019-09-14,93.62,0.02,26.93
2019-09-15,93.74,0.0,25.36
2019-09-16,93.89,0.0,22.99
2019-09-17,94.02,0.02,21.03
2019-09-18,94.13,0.0,19.28
2019-09-19,94.26,0.0,18.37
2019-09-20,94.36,0.0,19.71
2019-09-21,94.48,0.0,22.09
2019-09-22,94.59,0.0,23.16
2019-09-23,94.73,0.0,20.89
2019-09-24,94.8,0.0,23.43
2019-09-25,94.91,4.37,22.49
2019-09-26,95.05,0.43,20.09
2019-09-27,95.14,0.34,19.07
2019-09-28,95.18,0.7,18.45
2019-09-29,95.29,0.03,15.67
2019-09-30,95.37,0.0,15.68
2019-10-01,95.44,0.0,15.94
2019-10-02,95.53,0.0,18.25
2019-10-03,95.57,0.0,17.7
2019-10-04,95.49,0.0,18.16
2019-10-05,95.22,0.0,19.98
2019-10-06,94.95,0.0,21.76
2019-10-07,94.62,0.0,23.05
2019-10-08,94.31,0.0,21.01
2019-10-09,94.01,0.01,16.71
2019-10-10,93.72,0.01,17.94
2019-10-11,93.38,0.0,19.5
2019-10-12,93.06,0.0,19.82
2019-10-13,92.76,0.14,16.77
2019-10-14,92.47,0.06,15.81
2019-10-15,92.15,0.03,20.19
2019-10-16,91.78,0.02,21.68
2019-10-17,91.4,0.09,17.25
2019-10-18,90.99,0.0,18.36
2019-10-19,90.6,0.0,19.08
2019-10-20,90.28,0.0,19.92
2019-10-21,90.0,0.0,23.0
2019-10-22,89.68,0.0,24.66
2019-10-23,89.37,0.0,24.23
2019-10-24,89.15,0.0,23.45
2019-10-25,88.92,0.0,22.51
2019-10-26,88.64,0.0,21.06
2019-10-27,88.5,0.04,15.73
2019-10-28,88.33,0.0,15.7
2019-10-29,88.14,0.0,15.2
2019-10-30,88.01,0.0,13.76
2019-10-31,87.81,0.0,15.3
2019-11-01,87.62,0.0,16.93
2019-11-02,87.44,0.0,19.33
2019-11-03,87.28,0.0,18.98
2019-11-04,87.1,0.0,19.82
2019-11-05,86.96,0.0,19.07
2019-11-06,86.82,0.0,17.71
2019-11-07,86.71,0.0,19.25
2019-11-08,86.57,0.0,21.5
2019-11-09,86.4,0.0,21.83
2019-11-10,86.27,0.02,18.34
2019-11-11,86.14,0.01,17.56
2019-11-12,85.99,0.0,19.66
2019-11-13,85.84,0.0,18.64
2019-11-14,85.72,0.0,17.51
2019-11-15,85.52,0.0,15.92
2019-11-16,85.36,0.0,19.04
2019-11-17,85.2,0.0,21.3
2019-11-18,85.02,0.0,21.52
2019-11-19,84.82,17.17,18.06
2019-11-20,84.7,27.99,12.95
2019-11-21,84.62,4.92,12.54
2019-11-22,84.35,0.02,13.47
2019-11-23,83.9,0.0,14.58
2019-11-24,83.49,0.02,15.59
2019-11-25,83.11,0.19,13.46
2019-11-26,82.81,0.01,12.12
2019-11-27,82.27,3.97,11.63
2019-11-28,81.63,36.16,10.65
2019-11-29,81.46,7.51,9.53
2019-11-30,81.17,0.5,10.47
2019-12-01,80.96,0.0,11.65
2019-12-02,80.79,0.0,14.19
2019-12-03,80.63,3.32,14.02
2019-12-04,80.45,29.35,13.44
2019-12-05,80.39,0.18,13.67
2019-12-06,80.36,0.71,14.79
2019-12-07,80.29,3.93,14.81
2019-12-08,80.23,4.11,13.77
2019-12-09,80.18,0.99,12.61
2019-12-10,80.2,0.01,13.09
2019-12-11,80.15,0.0,13.06
2019-12-12,80.12,0.0,14.8
2019-12-13,80.04,0.01,15.05
2019-12-14,79.94,0.04,13.32
2019-12-15,79.91,0.0,11.39
2019-12-16,79.89,0.0,10.02
2019-12-17,79.81,0.0,9.42
2019-12-18,79.69,0.0,9.69
2019-12-19,79.67,0.0,10.21
2019-12-20,79.65,0.0,12.23
2019-12-21,79.61,0.0,13.7
2019-12-22,79.56,0.09,13.02
2019-12-23,79.46,27.76,12.07
2019-12-24,79.4,2.52,10.71
2019-12-25,79.42,2.51,9.58
2019-12-26,79.26,29.18,9.18
2019-12-27,79.27,0.02,9.27
2019-12-28,79.34,0.0,9.3
2019-12-29,79.32,0.01,8.61
2019-12-30,79.22,0.05,8.56
2019-12-31,79.18,0.0,11.07
2020-01-01,79.13,0.0,11.42
2020-01-02,79.06,0.0,12.27
2020-01-03,79.14,0.0,13.14
2020-01-04,79.14,0.0,13.53
