date,groundwater_level
2018-07-24,91.73
2018-07-25,91.82
2018-07-26,91.9
2018-07-27,91.97
2018-07-28,92.07
2018-07-29,92.2
2018-07-30,92.33
2018-07-31,92.43
2018-08-01,92.5
2018-08-02,92.54
2018-08-03,92.57
2018-08-04,92.59
2018-08-05,92.64
2018-08-06,92.66
2018-08-07,92.7
2018-08-08,92.8
2018-08-09,92.9
2018-08-10,93.01
2018-08-11,93.1
2018-08-12,93.18
2018-08-13,93.29
2018-08-14,93.33
2018-08-15,93.39
2018-08-16,93.5
2018-08-17,93.62
2018-08-18,93.7
2018-08-19,93.77
2018-08-20,93.82
2018-08-21,93.9
2018-08-22,93.98
2018-08-23,94.04
2018-08-24,94.08
2018-08-25,94.15
2018-08-26,94.25
2018-08-27,94.28
2018-08-28,94.35
2018-08-29,94.4
2018-08-30,94.46
2018-08-31,94.43
2018-09-01,94.41
2018-09-02,94.41
2018-09-03,94.33
2018-09-04,94.2
2018-09-05,94.16
2018-09-06,94.07
2018-09-07,93.94
2018-09-08,93.83
2018-09-09,93.8
2018-09-10,93.72
2018-09-11,93.67
2018-09-12,93.65
2018-09-13,93.66
2018-09-14,93.65
2018-09-15,93.71
2018-09-16,93.8
2018-09-17,93.88
2018-09-18,93.95
2018-09-19,93.83
2018-09-20,93.74
2018-09-21,93.71
2018-09-22,93.7
2018-09-23,93.74
2018-09-24,93.8
2018-09-25,93.88
2018-09-26,93.97
2018-09-27,94.06
2018-09-28,94.14
2018-09-29,94.23
2018-09-30,94.31
2018-10-01,94.34
2018-10-02,94.43
2018-10-03,94.56
2018-10-04,94.64
2018-10-05,94.69
2018-10-06,94.72
2018-10-07,94.79
2018-10-08,94.87
2018-10-09,94.95
2018-10-10,94.97
2018-10-11,94.96
2018-10-12,94.89
2018-10-13,94.84
2018-10-14,94.72
2018-10-15,94.51
2018-10-16,94.26
2018-10-17,93.97
2018-10-18,93.68
2018-10-19,93.35
2018-10-20,93.04
2018-10-21,92.74
2018-10-22,92.41
2018-10-23,92.12
2018-10-24,91.85
2018-10-25,91.59
2018-10-26,91.33
2018-10-27,91.1
2018-10-28,90.86
2018-10-29,90.58
2018-10-30,90.37
2018-10-31,90.18
2018-11-01,89.97
2018-11-02,89.75
2018-11-03,89.56
2018-11-04,89.42
2018-11-05,89.28
2018-11-06,89.28
2018-11-07,89.29
2018-11-08,89.34
2018-11-09,89.45
2018-11-10,89.55
2018-11-11,89.72
2018-11-12,89.97
2018-11-13,90.18
2018-11-14,90.36
2018-11-15,90.51
2018-11-16,90.65
2018-11-17,90.83
2018-11-18,91.04
2018-11-19,91.22
2018-11-20,91.39
2018-11-21,91.64
2018-11-22,91.82
2018-11-23,92.03
2018-11-24,92.11
2018-11-25,92.29
2018-11-26,92.48
2018-11-27,92.61
2018-11-28,92.7
2018-11-29,92.79
2018-11-30,92.9
2018-12-01,93.08
2018-12-02,93.17
2018-12-03,93.35
2018-12-04,93.42
2018-12-05,93.46
2018-12-06,93.48
2018-12-07,93.51
2018-12-08,93.73
2018-12-09,93.85
2018-12-10,93.86
2018-12-11,93.91
2018-12-12,94.01
2018-12-13,94.1
2018-12-14,94.14
2018-12-15,94.15
2018-12-16,94.23
2018-12-17,94.31
2018-12-18,94.37
2018-12-19,94.42
2018-12-20,94.47
2018-12-21,94.5
2018-12-22,94.58
2018-12-23,94.7
2018-12-24,94.73
2018-12-25,94.69
2018-12-26,94.81
2018-12-27,94.81
2018-12-28,94.89
2018-12-29,95.04
2018-12-30,95.01
2018-12-31,94.97
2019-01-01,95.04
2019-01-02,95.15
2019-01-03,95.19
2019-01-04,95.15
2019-01-05,95.15
2019-01-06,95.22
2019-01-07,95.35
2019-01-08,95.36
2019-01-09,95.42
2019-01-10,95.47
2019-01-11,95.5
2019-01-12,95.49
2019-01-13,95.52
2019-01-14,95.5
2019-01-15,95.51
2019-01-16,95.55
2019-01-17,95.58
2019-01-18,95.61
2019-01-19,95.62
2019-01-20,95.59
2019-01-21,95.61
2019-01-22,95.68
2019-01-23,95.75
2019-01-24,95.7
2019-01-25,95.72
2019-01-26,95.77
2019-01-27,95.77
2019-01-28,95.72
2019-01-29,95.68
2019-01-30,95.66
2019-01-31,95.67
2019-02-01,95.66
2019-02-02,95.57
2019-02-03,95.55
2019-02-04,95.57
2019-02-05,95.58
2019-02-06,95.66
2019-02-07,95.71
2019-02-08,95.68
2019-02-09,95.69
2019-02-10,95.73
2019-02-11,95.76
2019-02-12,95.77
2019-02-13,95.72
2019-02-14,95.66
2019-02-15,95.71
2019-02-16,95.72
2019-02-17,95.73
2019-02-18,95.72
2019-02-19,95.8
2019-02-20,95.76
2019-02-21,95.69
2019-02-22,95.7
2019-02-23,95.61
2019-02-24,95.37
2019-02-25,95.13
2019-02-26,94.92
2019-02-27,94.68
2019-02-28,94.45
2019-03-01,94.26
2019-03-02,94.18
2019-03-03,94.15
2019-03-04,94.15
2019-03-05,94.17
2019-03-06,94.21
2019-03-07,94.33
2019-03-08,94.43
2019-03-09,94.55
2019-03-10,94.6
2019-03-11,94.68
2019-03-12,94.68
2019-03-13,94.83
2019-03-14,95.0
2019-03-15,95.1
2019-03-16,95.15
2019-03-17,95.21
2019-03-18,95.29
2019-03-19,95.35
2019-03-20,95.44
2019-03-21,95.46
2019-03-22,95.41
2019-03-23,95.38
2019-03-24,95.4
2019-03-25,95.4
2019-03-26,95.39
2019-03-27,95.41
2019-03-28,95.5
2019-03-29,95.41
2019-03-30,95.26
2019-03-31,95.16
2019-04-01,95.03
2019-04-02,94.93
2019-04-03,94.78
2019-04-04,94.47
2019-04-05,94.19
2019-04-06,93.97
2019-04-07,93.68
2019-04-08,93.37
2019-04-09,93.09
2019-04-10,92.83
2019-04-11,92.45
2019-04-12,92.21
2019-04-13,91.97
2019-04-14,91.68
2019-04-15,91.41
2019-04-16,91.14
2019-04-17,90.87
2019-04-18,90.54
2019-04-19,90.19
2019-04-20,89.95
2019-04-21,89.7
2019-04-22,89.44
2019-04-23,89.23
2019-04-24,89.05
2019-04-25,88.88
2019-04-26,88.68
2019-04-27,88.44
2019-04-28,88.2
2019-04-29,88.01
2019-04-30,87.82
2019-05-01,87.6
2019-05-02,87.35
2019-05-03,87.12
2019-05-04,86.87
2019-05-05,86.7
2019-05-06,86.54
2019-05-07,86.39
2019-05-08,86.16
2019-05-09,85.98
2019-05-10,85.88
2019-05-11,85.76
2019-05-12,85.68
2019-05-13,85.54
2019-05-14,85.37
2019-05-15,85.21
2019-05-16,85.12
2019-05-17,85.0
2019-05-18,84.89
2019-05-19,84.8
2019-05-20,84.73
2019-05-21,84.56
2019-05-22,84.49
2019-05-23,84.47
2019-05-24,84.36
2019-05-25,84.27
2019-05-26,84.24
2019-05-27,84.18
2019-05-28,84.04
2019-05-29,83.93
2019-05-30,83.87
2019-05-31,83.76
2019-06-01,83.66
2019-06-02,83.57
2019-06-03,83.48
2019-06-04,83.41
2019-06-05,83.34
2019-06-06,83.29
2019-06-07,83.22
2019-06-08,83.2
2019-06-09,83.18
2019-06-10,83.13
2019-06-11,83.08
2019-06-12,82.99
2019-06-13,82.97
2019-06-14,82.93
2019-06-15,82.92
2019-06-16,82.89
2019-06-17,82.85
2019-06-18,82.85
2019-06-19,82.81
2019-06-20,82.76
2019-06-21,82.73
2019-06-22,82.73
2019-06-23,82.71
2019-06-24,82.65
2019-06-25,82.62
2019-06-26,82.6
2019-06-27,82.57
2019-06-28,82.53
2019-06-29,82.52
2019-06-30,82.51
2019-07-01,82.44
2019-07-02,82.39
2019-07-03,82.38
2019-07-04,82.37
2019-07-05,82.37
2019-07-06,82.35
2019-07-07,82.36
2019-07-08,82.35
2019-07-09,82.32
2019-07-10,82.28
2019-07-11,82.23
2019-07-12,82.15
2019-07-13,82.16
2019-07-14,82.19
2019-07-15,82.12
2019-07-16,82.1
2019-07-17,82.11
2019-07-18,82.1
2019-07-19,82.09
2019-07-20,82.12
2019-07-21,82.16
2019-07-22,82.25
2019-07-23,82.36
2019-07-24,82.48
2019-07-25,82.62
2019-07-26,82.78
2019-07-27,82.95
2019-07-28,83.09
2019-07-29,83.22
2019-07-30,83.37
2019-07-31,83.51
2019-08-01,83.68
2019-08-02,83.81
2019-08-03,83.99
2019-08-04,84.19
2019-08-05,84.44
2019-08-06,84.69
2019-08-07,84.97
2019-08-08,85.26
2019-08-09,85.55
2019-08-10,85.85
2019-08-11,86.19
2019-08-12,86.51
2019-08-13,86.81
2019-08-14,86.91
2019-08-15,87.23
2019-08-16,87.55
2019-08-17,87.9
2019-08-18,88.2
2019-08-19,88.52
2019-08-20,88.78
2019-08-21,89.04
2019-08-22,89.26
2019-08-23,89.55
2019-08-24,89.83
2019-08-25,90.1
2019-08-26,90.31
2019-08-27,90.52
2019-08-28,90.76
2019-08-29,91.0
2019-08-30,91.18
2019-08-31,91.34
2019-09-01,91.48
2019-09-02,91.68
2019-09-03,91.86
2019-09-04,92.0
2019-09-05,92.18
2019-09-06,92.4
2019-09-07,92.56
2019-09-08,92.72
2019-09-09,92.87
2019-09-10,93.03
2019-09-11,93.19
2019-09-12,93.37
2019-09-13,93.48
2019-09-14,93.62
2019-09-15,93.74
2019-09-16,93.89
2019-09-17,94.02
2019-09-18,94.13
2019-09-19,94.26
2019-09-20,94.36
2019-09-21,94.48
2019-09-22,94.59
2019-09-23,94.73
2019-09-24,94.8
2019-09-25,94.91
2019-09-26,95.05
2019-09-27,95.14
2019-09-28,95.18
2019-09-29,95.29
2019-09-30,95.37
2019-10-01,95.44
2019-10-02,95.53
2019-10-03,95.57
2019-10-04,95.49
2019-10-05,95.22
2019-10-06,94.95
2019-10-07,94.62
2019-10-08,94.31
2019-10-09,94.01
2019-10-10,93.72
2019-10-11,93.38
2019-10-12,93.06
2019-10-13,92.76
2019-10-14,92.47
2019-10-15,92.15
2019-10-16,91.78
2019-10-17,91.4
2019-10-18,90.99
2019-10-19,90.6
2019-10-20,90.28
2019-10-21,90.0
2019-10-22,89.68
2019-10-23,89.37
2019-10-24,89.15
2019-10-25,88.92
2019-10-26,88.64
2019-10-27,88.5
2019-10-28,88.33
2019-10-29,88.14
2019-10-30,88.01
2019-10-31,87.81
2019-11-01,87.62
2019-11-02,87.44
2019-11-03,87.28
2019-11-04,87.1
2019-11-05,86.96
2019-11-06,86.82
2019-11-07,86.71
2019-11-08,86.57
2019-11-09,86.4
2019-11-10,86.27
2019-11-11,86.14
2019-11-12,85.99
2019-11-13,85.84
2019-11-14,85.72
2019-11-15,85.52
2019-11-16,85.36
2019-11-17,85.2
2019-11-18,85.02
2019-11-19,84.82
2019-11-20,84.7
2019-11-21,84.62
2019-11-22,84.35
2019-11-23,83.9
2019-11-24,83.49
2019-11-25,83.11
2019-11-26,82.81
2019-11-27,82.27
2019-11-28,81.63
2019-11-29,81.46
2019-11-30,81.17
2019-12-01,80.96
2019-12-02,80.79
2019-12-03,80.63
2019-12-04,80.45
2019-12-05,80.39
2019-12-06,80.36
2019-12-07,80.29
2019-12-08,80.23
2019-12-09,80.18
2019-12-10,80.2
2019-12-11,80.15
2019-12-12,80.12
2019-12-13,80.04
2019-12-14,79.94
2019-12-15,79.91
2019-12-16,79.89
2019-12-17,79.81
2019-12-18,79.69
2019-12-19,79.67
2019-12-20,79.65
2019-12-21,79.61
2019-12-22,79.56
2019-12-23,79.46
2019-12-24,79.4
2019-12-25,79.42
2019-12-26,79.26
2019-12-27,79.27
2019-12-28,79.34
2019-12-29,79.32
2019-12-30,79.22
2019-12-31,79.18
2020-01-01,79.13
2020-01-02,79.06
2020-01-03,79.14
2020-01-04,79.14
2020-01-05,79.07
2020-01-06,79.02
2020-01-07,78.92
2020-01-08,78.87
2020-01-09,78.83
2020-01-10,78.89
2020-01-11,78.86
2020-01-12,78.8
2020-01-13,78.78
2020-01-14,78.74
2020-01-15,78.64
2020-01-16,78.65
2020-01-17,78.67
2020-01-18,78.61
2020-01-19,78.55
2020-01-20,78.49
2020-01-21,78.5
2020-01-22,78.51
2020-01-23,78.46
2020-01-24,78.43
2020-01-25,78.44
2020-01-26,78.48
2020-01-27,78.5
2020-01-28,78.41
2020-01-29,78.38
2020-01-30,78.43
2020-01-31,78.5
2020-02-01,78.52
2020-02-02,78.49
2020-02-03,78.45
2020-02-04,78.53
2020-02-05,78.63
2020-02-06,78.63
2020-02-07,78.61
2020-02-08,78.58
2020-02-09,78.55
2020-02-10,78.53
2020-02-11,78.59
2020-02-12,78.54
2020-02-13,78.49
2020-02-14,78.44
2020-02-15,78.44
2020-02-16,78.41
2020-02-17,78.35
2020-02-18,78.35
2020-02-19,78.39
2020-02-20,78.44
2020-02-21,78.44
2020-02-22,78.47
2020-02-23,78.59
2020-02-24,78.6
2020-02-25,78.63
2020-02-26,78.68
2020-02-27,78.7
2020-02-28,78.72
2020-02-29,78.75
2020-03-01,78.79
2020-03-02,78.78
2020-03-03,78.88
2020-03-04,79.01
2020-03-05,79.08
2020-03-06,79.08
2020-03-07,79.12
2020-03-08,79.17
2020-03-09,79.26
2020-03-10,79.26
2020-03-11,79.26
2020-03-12,79.23
2020-03-13,79.24
2020-03-14,79.32
2020-03-15,79.35
2020-03-16,79.32
2020-03-17,79.29
2020-03-18,79.22
2020-03-19,79.3
2020-03-20,79.32
2020-03-21,78.98
2020-03-22,78.29
2020-03-23,77.45
2020-03-24,76.53
2020-03-25,75.75
2020-03-26,75.27
2020-03-27,75.0
2020-03-28,74.79
2020-03-29,74.74
2020-03-30,74.73
2020-03-31,74.65
2020-04-01,74.64
2020-04-02,74.72
2020-04-03,74.84
2020-04-04,74.92
2020-04-05,75.03
2020-04-06,75.16
2020-04-07,75.23
2020-04-08,75.32
2020-04-09,75.45
2020-04-10,75.33
2020-04-11,75.38
2020-04-12,75.54
2020-04-13,75.72
2020-04-14,75.9
2020-04-15,76.11
2020-04-16,76.3
2020-04-17,76.55
2020-04-18,76.86
2020-04-19,77.17
2020-04-20,77.45
2020-04-21,77.76
2020-04-22,78.02
2020-04-23,78.24
2020-04-24,78.48
2020-04-25,78.72
2020-04-26,79.0
2020-04-27,79.27
2020-04-28,79.55
2020-04-29,79.81
2020-04-30,80.06
2020-05-01,80.29
2020-05-02,80.57
2020-05-03,80.85
2020-05-04,81.05
2020-05-05,81.22
2020-05-06,81.44
2020-05-07,81.68
2020-05-08,81.94
2020-05-09,82.28
2020-05-10,82.61
2020-05-11,82.96
2020-05-12,83.28
2020-05-13,83.6
2020-05-14,83.94
2020-05-15,84.25
2020-05-16,84.55
2020-05-17,84.83
2020-05-18,85.19
2020-05-19,85.48
2020-05-20,85.8
2020-05-21,86.06
2020-05-22,86.34
2020-05-23,86.62
2020-05-24,86.92
2020-05-25,87.18
2020-05-26,87.45
2020-05-27,87.7
2020-05-28,87.98
2020-05-29,88.24
2020-05-30,88.55
2020-05-31,88.81
2020-06-01,89.05
2020-06-02,89.28
2020-06-03,89.48
2020-06-04,89.66
2020-06-05,89.87
2020-06-06,90.1
2020-06-07,90.31
2020-06-08,90.5
2020-06-09,90.69
2020-06-10,90.84
2020-06-11,91.03
2020-06-12,91.24
2020-06-13,91.39
2020-06-14,91.49
2020-06-15,91.64
2020-06-16,91.77
2020-06-17,91.84
2020-06-18,91.81
2020-06-19,91.83
2020-06-20,91.89
2020-06-21,91.9
2020-06-22,91.96
2020-06-23,92.06
2020-06-24,92.26
2020-06-25,92.41
2020-06-26,92.41
2020-06-27,92.39
2020-06-28,92.38
2020-06-29,92.41
2020-06-30,92.46
2020-07-01,92.52
2020-07-02,92.65
2020-07-03,92.77
2020-07-04,92.91
2020-07-05,93.01
2020-07-06,93.11
2020-07-07,93.23
2020-07-08,93.35
2020-07-09,93.49
2020-07-10,93.65
2020-07-11,93.81
2020-07-12,93.9
2020-07-15,94.13
2020-07-16,94.19
2020-07-17,94.27
2020-07-18,94.35
2020-07-19,94.43
2020-07-20,94.46
2020-07-21,94.53
2020-07-22,94.59
2020-07-23,94.66
2020-07-24,94.68
2020-07-25,94.65
2020-07-26,94.65
2020-07-27,94.65
2020-07-28,94.66
2020-07-29,94.71
2020-07-30,94.74
2020-07-31,94.76
2020-08-01,94.81
2020-08-02,94.82
2020-08-03,94.81
2020-08-04,94.82
2020-08-05,94.83
2020-08-06,94.83
2020-08-07,94.85
2020-08-08,94.81
2020-08-09,94.73
2020-08-10,94.6
2020-08-11,94.43
2020-08-12,94.26
2020-08-13,94.05
2020-08-14,93.84
2020-08-15,93.63
2020-08-16,93.48
2020-08-17,93.29
2020-08-18,93.12
2020-08-19,92.94
2020-08-20,92.76
2020-08-21,92.65
2020-08-22,92.59
2020-08-23,92.55
2020-08-24,92.48
2020-08-25,92.42
2020-08-26,92.37
2020-08-27,92.35
2020-08-28,92.45
2020-08-29,92.52
2020-08-30,92.61
2020-08-31,92.71
2020-09-01,92.83
2020-09-02,92.98
2020-09-03,93.1
2020-09-04,93.18
2020-09-05,93.26
2020-09-06,93.29
2020-09-07,93.24
2020-09-08,93.21
2020-09-09,93.24
2020-09-10,93.28
2020-09-11,93.27
2020-09-12,93.25
2020-09-13,93.3
2020-09-14,93.3
2020-09-15,93.3
2020-09-16,93.28
2020-09-17,93.29
2020-09-18,93.29
2020-09-19,93.3
2020-09-20,93.32
2020-09-21,93.36
2020-09-22,93.39
2020-09-23,93.42
2020-09-24,93.42
2020-09-25,93.47
2020-09-26,93.5
2020-09-27,93.54
2020-09-28,93.6
2020-09-29,93.64
2020-09-30,93.68
2020-10-01,93.72
2020-10-02,93.75
2020-10-03,93.78
2020-10-04,93.84
2020-10-05,93.87
2020-10-06,93.83
2020-10-07,93.76
2020-10-08,93.71
2020-10-09,93.59
2020-10-10,93.43
2020-10-11,93.26
2020-10-12,93.08
2020-10-13,92.96
2020-10-14,92.9
2020-10-15,92.85
2020-10-16,92.8
2020-10-17,92.82
2020-10-18,92.83
2020-10-19,92.81
2020-10-20,92.79
2020-10-21,92.8
2020-10-22,92.87
2020-10-23,92.94
2020-10-24,93.0
2020-10-25,93.03
2020-10-26,93.1
2020-10-27,93.15
2020-10-28,93.19
2020-10-29,93.21
2020-10-30,93.16
2020-10-31,93.13
2020-11-01,93.11
2020-11-02,93.0
2020-11-03,92.91
2020-11-04,92.82
2020-11-05,92.65
2020-11-06,92.51
2020-11-07,92.45
2020-11-08,92.43
2020-11-09,92.45
2020-11-10,92.38
2020-11-11,92.32
2020-11-12,92.31
2020-11-13,92.31
2020-11-14,92.3
2020-11-15,92.28
2020-11-16,92.22
2020-11-17,92.2
2020-11-18,92.22
2020-11-19,92.17
2020-11-20,92.08
2020-11-21,91.99
2020-11-22,91.87
2020-11-23,91.77
2020-11-24,91.72
2020-11-25,91.61
2020-11-26,91.49
2020-11-27,91.41
2020-11-28,91.24
2020-11-29,91.07
2020-11-30,90.82
2020-12-01,90.52
2020-12-02,90.27
2020-12-03,90.08
2020-12-04,89.85
2020-12-05,89.68
2020-12-06,89.48
2020-12-07,89.3
2020-12-08,89.18
2020-12-09,89.06
2020-12-10,88.98
2020-12-11,88.83
2020-12-12,88.64
2020-12-13,88.57
2020-12-14,88.45
2020-12-15,88.39
2020-12-16,88.27
2020-12-17,88.18
2020-12-18,88.17
2020-12-19,88.16
2020-12-20,88.07
2020-12-21,87.97
2020-12-22,87.97
2020-12-23,87.97
2020-12-24,87.94
2020-12-25,87.9
2020-12-26,87.84
2020-12-27,87.76
2020-12-28,87.69
2020-12-29,87.65
2020-12-30,87.56
2020-12-31,87.39
2021-01-01,87.37
2021-01-02,87.37
2021-01-03,87.29
2021-01-04,87.22
2021-01-05,87.17
2021-01-06,87.13
2021-01-07,87.06
2021-01-08,87.01
2021-01-09,86.96
2021-01-10,86.96
2021-01-11,86.92
2021-01-12,86.91
2021-01-13,86.82
2021-01-14,86.71
2021-01-15,86.62
2021-01-16,86.53
2021-01-17,86.53
2021-01-18,86.43
2021-01-19,86.4
2021-01-20,86.47
2021-01-21,86.51
2021-01-22,86.51
2021-01-23,86.47
2021-01-24,86.43
2021-01-25,86.39
2021-01-26,86.42
2021-01-27,86.52
2021-01-28,86.43
2021-01-29,86.38
2021-01-30,86.48
2021-01-31,86.49
2021-02-01,86.48
2021-02-02,86.49
2021-02-03,86.51
2021-02-04,86.51
2021-02-05,86.47
2021-02-06,86.43
2021-02-07,86.39
2021-02-08,86.39
2021-02-09,86.37
2021-02-10,86.25
2021-02-11,86.09
2021-02-12,85.99
2021-02-13,85.92
2021-02-14,85.91
2021-02-15,85.93
2021-02-16,85.91
2021-02-17,85.89
2021-02-18,85.92
2021-02-19,85.82
2021-02-20,85.78
2021-02-21,85.66
2021-02-22,85.34
2021-02-23,84.96
2021-02-24,84.6
2021-02-25,84.22
2021-02-26,83.88
2021-02-27,83.62
2021-02-28,83.39
2021-03-01,83.01
2021-03-02,82.61
2021-03-03,82.42
2021-03-04,82.3
2021-03-05,82.12
2021-03-06,81.99
2021-03-07,81.87
2021-03-08,81.74
2021-03-09,81.58
2021-03-10,81.37
2021-03-11,81.21
2021-03-12,81.09
2021-03-13,80.97
2021-03-14,80.76
2021-03-15,80.54
2021-03-16,80.43
2021-03-17,80.28
2021-03-18,80.14
2021-03-19,80.0
2021-03-20,79.85
2021-03-21,79.76
2021-03-22,79.6
2021-03-23,79.46
2021-03-24,79.36
2021-03-25,79.23
2021-03-26,79.18
2021-03-27,79.15
2021-03-28,79.0
2021-03-29,78.83
2021-03-30,78.78
2021-03-31,78.68
2021-04-01,78.59
2021-04-02,78.58
2021-04-03,78.55
2021-04-04,78.48
2021-04-05,78.39
2021-04-06,78.34
2021-04-07,78.29
2021-04-08,78.2
2021-04-09,78.12
2021-04-10,78.07
2021-04-11,78.01
2021-04-12,77.98
2021-04-13,77.96
2021-04-14,77.96
2021-04-15,77.94
2021-04-16,77.93
2021-04-17,77.94
2021-04-18,77.96
2021-04-19,78.06
2021-04-20,78.18
2021-04-21,78.34
2021-04-22,78.57
2021-04-23,78.83
2021-04-24,79.09
2021-04-25,79.33
2021-04-26,79.56
2021-04-27,79.81
2021-04-28,80.08
2021-04-29,80.3
2021-04-30,80.49
2021-05-01,80.66
2021-05-02,80.79
2021-05-03,80.94
2021-05-04,81.13
2021-05-05,81.28
2021-05-06,81.48
2021-05-07,81.64
2021-05-08,81.77
2021-05-09,81.95
2021-05-10,82.12
2021-05-11,82.26
2021-05-12,82.4
2021-05-13,82.55
2021-05-14,82.65
2021-05-15,82.77
2021-05-16,82.92
2021-05-17,83.05
2021-05-18,83.16
2021-05-19,83.22
2021-05-20,83.33
2021-05-21,83.49
2021-05-22,83.7
2021-05-23,83.88
2021-05-24,83.96
2021-05-25,84.01
2021-05-26,84.01
2021-05-27,83.83
2021-05-28,83.58
2021-05-29,83.36
2021-05-30,83.17
2021-05-31,82.99
2021-06-01,82.76
2021-06-02,82.57
2021-06-03,82.4
2021-06-04,82.24
2021-06-05,82.06
2021-06-06,81.91
2021-06-07,81.74
2021-06-08,81.64
2021-06-09,81.52
2021-06-10,81.36
2021-06-11,81.24
2021-06-12,81.16
2021-06-13,81.14
2021-06-14,81.06
2021-06-15,81.03
2021-06-16,80.99
2021-06-17,80.95
2021-06-18,80.91
2021-06-19,80.87
2021-06-20,80.87
2021-06-21,80.85
2021-06-22,80.78
2021-06-23,80.8
2021-06-24,80.78
2021-06-25,80.79
2021-06-26,80.8
